"Project Name","Item Title","Item Ark","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.publisher","Name.subject","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","AltTitle.other","Publisher.placeOfOrigin","Date.creation","Date.normalized","Description.note","Description.caption","Format.extent","Title","Alt ID.local","AltTitle.parallel","Publisher.publisherName","thumbnailImageName","masterImageName"
"Ethiopian Posters","Poster chiefly in Amharic depicting Ustaz Abubeker Ahmed [descriptive]","21198/zz002hgsfd","","still image","","","","Abubeker Ahmed, $c Ustaz","","Islam $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster is a collage that depicts the following: a photograph of Ustaz Abubeker Ahmed wearing a taqiyah, button-up shirt, and jacket and speaking in front of three microphones on a green background; the same photograph reversed and made transparent on a purple background on the right.|~|Chiefly in Amharic with some English.","Printed by Dire Printing Sh. Co.","1 poster : col.","Poster chiefly in Amharic depicting Ustaz Abubeker Ahmed [descriptive]","ucla_1922_box01_folder001_010","","","ucla_1922_box01_folder001_010.jpg","ucla_1922_box01_folder001_010.tif"
"Ethiopian Posters","Poster in Amharic depicting a collage of a dove, a mosque, and open hands [descriptive]","21198/zz002hgsgx","","still image","","","","","","Islam $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster depicts a collage that includes the following: a photograph of a dove carrying an illustrated olive branch in its beak; a photograph of a mosque; a photograph of hands opened upward; background is violet with a white spot resembling the sky and the sun. In the bottom left is the logo for Nejashi.","","1 poster : col.","Poster in Amharic depicting a collage of a dove, a mosque, and open hands [descriptive]","ucla_1922_box01_folder002_001","","","ucla_1922_box01_folder002_001.jpg","ucla_1922_box01_folder002_001.tif"
"Ethiopian Posters","Poster in Amharic and Arabic depicting Ustaz Yassin Nuru [descriptive]","21198/zz002hgshf","","still image","","","","Yassin Nuru, $c Ustaz","","Islam $z Ethiopia","posters","ara|~|amh","University of California, Los Angeles. $b Library Special Collections","Habib Nesredin","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster depicts a collage of the following: a large photograph of Ustaz Yassin Nuru, smiling, sitting behind a microphone with his hands clasped, and wearing a taqiyah, jacket, and button-up shirt; five smaller photographs arranged horizontally like a reel of Ustaz Yassin Nuru speaking from behind the microphone; a photograph of four books. The background is purple, with a transparent photograph of Ustaz Yassin Nuru. In the bottom left is a logo that consists of a yellow dove in flight, and a word in Amharic printed in black with a yellow outline.","Designed by Habib Nesredin","1 poster : col.","Poster in Amharic and Arabic depicting Ustaz Yassin Nuru [descriptive]","ucla_1922_box01_folder002_002","","","ucla_1922_box01_folder002_002.jpg","ucla_1922_box01_folder002_002.tif"
"Ethiopian Posters","Poster chiefly in Amharic depicting Ustaz Yassin Nuru with a mosque in the background [descriptive]","21198/zz002hgsjz","","still image","","","","Yassin Nuru, $c Ustaz","","Islam $z Ethiopia","posters","eng|~|ara|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2007 and 2010?]","2007/2010","Chiefly in Amharic with some Arabic and English.|~|Printed by Dire Printing Sh. Co.|~|Poster appears to advertise an audiovisual work by Ustaz Yassin Nuru and depicts a collage that includes the following: a photograph of Ustaz Yassin Nuru in a taqiyah, button-up shirt, and jacket; a photograph of a mosque; the background consists of light blue and yellow stripes, with black-edged circles on the top left and right.","Audiovisual Production","1 poster : col.","Poster chiefly in Amharic depicting Ustaz Yassin Nuru with a mosque in the background [descriptive]","ucla_1922_box01_folder002_003","","","ucla_1922_box01_folder002_003.jpg","ucla_1922_box01_folder002_003.tif"
"Ethiopian Posters","Kingdom of Peace","21198/zz002hgskg","","still image","","Naik, Zakir, $d 1965-","","","","Islam","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 2000 and 2010?]","2000/2010","Chiefly in Amharic with some English.|~|Poster depicts a photograph of Zakir Naik in a taqiyah, jacket, button-up shirt, and tie in front of microphones with one hand clasped over the other; the title is printed on a red border at the top; on a gray and white striped border at the right is contact information for an organization or business possibly called Al-Aqssa.","Designed & Printed by Dire Printing Sh. Co.","1 poster : col.","Kingdom of Peace","ucla_1922_box01_folder002_004","","","ucla_1922_box01_folder002_004.jpg","ucla_1922_box01_folder002_004.tif"
"Ethiopian Posters","Poster in Amharic depicting a man in a robe, women with white head coverings, and a church [descriptive]","21198/zz002hgsm0","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster appears to be an advertisement for an audio recording and depicts a photomontage of the following: a man with raised palms, wearing a cream robe and a cross pendant; a group of women in white head coverings; and a church rising above trees. The border consists of red, yellow, green, and black stripes.","","1 poster : col.","Poster in Amharic depicting a man in a robe, women with white head coverings, and a church [descriptive]","ucla_1922_box01_folder002_005","","","ucla_1922_box01_folder002_005.jpg","ucla_1922_box01_folder002_005.tif"
"Ethiopian Posters","Poster chiefly in Amharic depicting a man dropping boulders in front of a group of people [descriptive]","21198/zz002hgsnh","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Chiefly in Amharic with some English.|~|Poster depicts a collage of a man in a loin cloth with a boulder on his shoulders; the boulder is printed with a quote from Jeremiah 23:33; the man appears to be dropping other boulders in front of a group of people who crouch before him; the man stands on a grassy patch with rocks around him.","Graphics design & printed by Eamersen","1 poster : col.","Poster chiefly in Amharic depicting a man dropping boulders in front of a group of people [descriptive]","ucla_1922_box01_folder002_006","","","ucla_1922_box01_folder002_006.jpg","ucla_1922_box01_folder002_006.tif"
"Ethiopian Posters","Poster chiefly in Amharic depicting a church on a rainbow background, a religious leader, and a group of people [descriptive]","21198/zz002hgsp1","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Chiefly in Amharic with some English.|~|Poster depicts a collage of the following: a photograph of a church on a concentric rainbow  background; a photograph of a religious leader, seated and wearing a black hat and peach colored robes with a cross pendant and an Ethiopian cross in his hand; a photograph of a group of people, mostly in white clothing, who appear to be singing or chanting. At the bottom left is the logo for Lens Advert.","Lens Advert","1 poster : col.","Poster chiefly in Amharic depicting a church on a rainbow background, a religious leader, and a group of people [descriptive]","ucla_1922_box01_folder002_007","","","ucla_1922_box01_folder002_007.jpg","ucla_1922_box01_folder002_007.tif"
"Ethiopian Posters","Poster chiefly in Amharic depicting a woman in a white head covering and a group of people facing a cross [descriptive]","21198/zz002hgsqj","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster depicts a collage that includes the following: a photograph of a woman in three-quarter profile wearing a white head covering and looking ahead; in the background is a photograph of a group of people, most of whom are wearing white and some of whom are carrying Ethiopian crosses, facing an illustration of a large cross rising above the sky. On the left are curved transparent orange bars. The text is printed in white, and the text on the bottom is printed on a transparent orange background that resembles spray paint.|~|Chiefly in Amharic with some English.","Graphics design & printed by Eamersen","1 poster : col.","Poster chiefly in Amharic depicting a woman in a white head covering and a group of people facing a cross [descriptive]","ucla_1922_box01_folder002_008","","","ucla_1922_box01_folder002_008.jpg","ucla_1922_box01_folder002_008.tif"
"Ethiopian Posters","Advertisement for a video recording depicting the Virgin and Child and a man wearing a robe and cross pendant [descriptive]","21198/zz002hgsr2","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster advertises a video recording and depicts a collage of the following: an illustration of the Virgin Mary and Child; a photograph of a man in a dark robe and a cross pendant, looking at the viewer and raising his palms; in the background is a transparent photograph of the same man raising his palms with his fingers touching and abstract white shapes on a pink and chartreuse background.|~|Chiefly in Amharic with some English","Vcd /Casset No.2","1 poster : col.","Advertisement for a video recording depicting the Virgin and Child and a man wearing a robe and cross pendant [descriptive]","ucla_1922_box01_folder002_009","","","ucla_1922_box01_folder002_009.jpg","ucla_1922_box01_folder002_009.tif"
"Ethiopian Posters","Poster in Amharic depicting a man, the Kaaba, the exterior of Al-Masjid Al-Haram, and two minarets [descriptive]","21198/zz002hgssk","","still image","","","","","","Islam $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2007 and 2008?]","2007/2008","Poster is a photomontage that depicts two photographs of a man in a red and purple taqiyah and tunic, standing barefoot and smiling in the left photograph and seated with his palms on his lap in the right photograph; in the background is a photograph of the courtyard of Al-Masjid Al-Haram and pilgrims surrounding the Kaaba, a photograph of the exterior of Al-Masjid Al-Haram; and a photograph of two minarets. The text in the top right is superimposed on a transparent plaid pattern.","","1 poster : col.","Poster in Amharic depicting a man, the Kaaba, the exterior of Al-Masjid Al-Haram, and two minarets [descriptive]","ucla_1922_box01_folder002_010","","","ucla_1922_box01_folder002_010.jpg","ucla_1922_box01_folder002_010.tif"
"Ethiopian Posters","DUP - see Ark # 21198/zz002hgsgx","21198/zz002hgst3","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","","","","","","1 poster : col.","DUP - see Ark # 21198/zz002hgsgx","ucla_1922_box01_folder003_001","","","ucla_1922_box01_folder003_001.jpg","ucla_1922_box01_folder003_001.tif"
"Ethiopian Posters","VCD advertisement chiefly in Amharic depicting a priest and two choir singers [descriptive]","21198/zz002hgsvm","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2008 and 2009?]","2008/2009","Chiefly in Amharic with some English.|~|Poster is an advertisement for a video disc (VCD) that depicts a collage of the following: a photograph of a priest wearing black and purple robes and holding a microphone in one hand to his mouth and holding a cross in his other hand; two photographs of choir singers; in the background consists of abstract green and yellow shapes with an illustration of an Ethiopian cross.","VCD no.1","1 poster : col.","VCD advertisement chiefly in Amharic depicting a priest and two choir singers [descriptive]","ucla_1922_box01_folder003_002","","","ucla_1922_box01_folder003_002.jpg","ucla_1922_box01_folder003_002.tif"
"Ethiopian Posters","DUP - see Ark # 21198/zz002hgs9b","21198/zz002hgsw4","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","","","","","","1 poster : col.","DUP - see Ark # 21198/zz002hgs9b","ucla_1922_box01_folder003_003","","","ucla_1922_box01_folder003_003.jpg","ucla_1922_box01_folder003_003.tif"
"Ethiopian Posters","Poster chiefly in Amharic that depicts Armageddon [descriptive]","21198/zz002hgsxn","","still image","","","","","","Armageddon","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 2000 and 2010?]","2000/2010","Poster depicts two illustrations: one of an army on a ledge, overlooking a walled city in the distance that is on fire; another of a man wearing a crown, a red robe, and sandals, holding a staff, riding a white horse, and leading a cavalry of men in white robes and also riding white horses; border is red.|~|Chiefly in Amharic with some English.","Design by Daniel","1 poster : col.","Poster chiefly in Amharic that depicts Armageddon [descriptive]","ucla_1922_box01_folder003_004","","","ucla_1922_box01_folder003_004.jpg","ucla_1922_box01_folder003_004.tif"
"Ethiopian Posters","Poster in Amharic advertising a VCD and depicting a row of Ethiopian clergymen wearing robes and holding fringed cloths over their heads [descriptive]","21198/zz002hgsz5","","still image","","","","","","Christianity $z Ethiopia|~|Video CDs $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)?]","[between 2000 and 2010?]","2000/2010","Poster appears to advertise a video CD (VCD) related to Christianity and depicts the following: a large photograph of a row of Ethiopian clergymen wearing robes and holding fringed cloths over their heads; flanking the large photograph are two sets of five photographs depicting religious processions.","","1 poster : col.","Poster in Amharic advertising a VCD and depicting a row of Ethiopian clergymen wearing robes and holding fringed cloths over their heads [descriptive]","ucla_1922_box01_folder003_005","","","ucla_1922_box01_folder003_005.jpg","ucla_1922_box01_folder003_005.tif"
"Ethiopian Posters","Poster in Amharic depicting an illustration of Jesus and photographs of ruins and a church dome [descriptive]","21198/zz002hgt05","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia?]","[between 2000 and 2010?]","2000/2010","Possibly an advertisement for a book by Nebiyou Girma about money, sexual immorality, and honor.|~|Poster depicts a collage of the following: an illustration of Jesus wearing a crown of thorns and carrying a cross; a photograph of ruins; a photograph of the dome of a church.","","1 poster : col.","Poster in Amharic depicting an illustration of Jesus and photographs of ruins and a church dome [descriptive]","ucla_1922_box01_folder003_006","","","ucla_1922_box01_folder003_006.jpg","ucla_1922_box01_folder003_006.tif"
"Ethiopian Posters","Poster in Amharic depicting an Ethiopian clergyman and church [descriptive]","21198/zz002hgt1p","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster depicts a photomontage of the following: an Ethiopian clergyman wearing a white robe with gold trim, a white hat with gold trim, and holding a wooden staff and a metallic object; the exterior of an Ethiopian church, with an image possibly of St. Joseph and Jesus hanging outside the church.","","1 poster : col.","Poster in Amharic depicting an Ethiopian clergyman and church [descriptive]","ucla_1922_box01_folder003_007","","","ucla_1922_box01_folder003_007.jpg","ucla_1922_box01_folder003_007.tif"
"Ethiopian Posters","Poster in Amharic advertising a music recording and depicting a man wearing a white robe and cross on a pendant, a silhouette of a cross, and a thorny vine dripping with blood [descriptive]","21198/zz002hgt26","","still image","","","","","","Church music $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster appears to advertise an Ethiopian religious music recording and depicts a collage of the following: an illustration of a man wearing a white robe and a cross on a pendant and clasping his hands together; an illustrated silhouette of a cross; an illustration of a thorny vine dripping with blood, upon which the Amharic-language title is printed; background is a photograph of a grassy landscape; in the bottom right is a small collage depicting a photograph of a man in a white robe in front of an illustration of a church exterior.","","1 poster : col.","Poster in Amharic advertising a music recording and depicting a man wearing a white robe and cross on a pendant, a silhouette of a cross, and a thorny vine dripping with blood [descriptive]","ucla_1922_box01_folder003_008","","","ucla_1922_box01_folder003_008.jpg","ucla_1922_box01_folder003_008.tif"
"Ethiopian Posters","Poster chiefly in Amharic advertising a music recording by Zemari Ephrem Asefa [descriptive]","21198/zz002hgt3q","","still image","","","Aryam Spiritual Song Shop","Ephrem Asefa","","Church music $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 2000 and 2010?]","2000/2010","Chiefly in Amharic with some English.|~|Poster appears to advertise a music recording by Zemari Ephrem Asefa and depicts a collage of the following: a photograph of a man, possibly Zemari Ephrem Asefa, wearing a white robe and a cross on a pendant and clasping his hands; a photograph of a church; photographs of a flock of sheep; an illustration of a rainbow in green, yellow, and red; background is a photograph of trees.","Published and distribted [i.e. distributed] by: Aryam Spiritual Song Shop","1 poster : col.","Poster chiefly in Amharic advertising a music recording by Zemari Ephrem Asefa [descriptive]","ucla_1922_box01_folder003_009","","","ucla_1922_box01_folder003_009.jpg","ucla_1922_box01_folder003_009.tif"
"Ethiopian Posters","Poster in Amharic possibly advertising a music recording and depicting a man in a white robe and black cap and a church exterior [descriptive]","21198/zz002hgt47","","still image","","","","","","Church music $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster possibly advertises a music recording and depicts a photomontage of the following: a man wearing a white robe and black cap and raising his palms upward; a church exterior with green, yellow, and red awnings and a group of people wearing white robes surrounding it.","","1 poster : col.","Poster in Amharic possibly advertising a music recording and depicting a man in a white robe and black cap and a church exterior [descriptive]","ucla_1922_box01_folder003_010","","","ucla_1922_box01_folder003_010.jpg","ucla_1922_box01_folder003_010.tif"
"Ethiopian Posters","Poster in Amharic depicting an illustration of an Ethiopian cross with an effigy of Christ crucified [descriptive]","21198/zz002hgt5r","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 2000 and 2010?]","2000/2010","Poster depicts an illustration in white of an Ethiopian cross with an effigy of Christ crucified in the center; background is violet.","","1 poster : col.","Poster in Amharic depicting an illustration of an Ethiopian cross with an effigy of Christ crucified [descriptive]","ucla_1922_box01_folder004_001","","","ucla_1922_box01_folder004_001.jpg","ucla_1922_box01_folder004_001.tif"
"Ethiopian Posters","Poster in Amharic depicting church leaders and church choirs [descriptive]","21198/zz002hgt68","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Addis Ababa (Ethiopia)?]","[between 2000 and 2010?]","2000/2010","Poster depicts photographs of seven church leaders and two church choirs within white ovals, with one blank oval; below the ovals is an illustration of an open book that appears to be the Bible; background is gradated purple and yellow; at the bottom is a black border.","","1 poster : col.","Poster in Amharic depicting church leaders and church choirs [descriptive]","ucla_1922_box01_folder004_002","","","ucla_1922_box01_folder004_002.jpg","ucla_1922_box01_folder004_002.tif"
